COLEGIO NICOLÁS GÓMEZ DÁVILA (IED) - SEDE PRINCIPAL;Kennedy;A;OFICIAL;90;68;55;70;67;352;;
LICEO FEMENINO MERCEDES NARIÑO;La Candelaria;A;OFICIAL;46;43;40;41;45;213;;
CENT EDUC DIST JOSE ANTONIO GALAN;Bosa;A;OFICIAL;49;46;45;46;47;233;;
LICEO Y PREESCOLAR TOMMYS;Tunjuelito;A;NO OFICIAL;59;54;52;52;56;272;;
COL SAN JUAN DE LOS PASTOS;Engativá;A;NO OFICIAL;57;55;53;53;56;273;;
COLEGIO BILINGÜE ROYAL - BILINGÜE NACIONAL - SEDE PRINCIPAL;Rafael Uribe Uribe;A;NO OFICIAL;62;68;57;63;83;320;;
GIMN MADRE TRINIDAD DE CALCUTA - SEDE PRINCIPAL;Tunjuelito;A;NO OFICIAL;55;50;47;48;52;251;;
COLEGIO DIOS ES AMOR LUCERO ALTO - SEDE PRINCIPAL;San Cristobal;A;NO OFICIAL;58;52;51;52;52;266;;
LIC HOMBRE DEL RIO                                                                                  ;Sumapaz;A;NO OFICIAL;58;55;54;53;55;275;;
GIMN ARTISTICO SUBA                                                                                 ;Santa Fe;A;NO OFICIAL;60;57;58;56;59;289;;
COL NAL NIDYA QUINTERO DE TURBAY;Rafael Uribe Uribe;A;OFICIAL;58;54;52;52;53;270;;
COL DIST EDUC BAS Y MEDIA RODRIGO LARA BONILLA;Usme;A;OFICIAL;47;42;42;43;42;217;;
GIMNASIO NICOLAS DE FEDERMAN;Bosa;A;NO OFICIAL;68;72;69;66;78;347;;
COL LUIS MARIANO                                                                                    ;Usme;A;NO OFICIAL;54;51;50;50;53;257;;
CEDID GUILLERMO CANO ISAZA;Barrios Unidos;A;OFICIAL;46;43;41;42;40;214;;
SALUDCOOP SUR (INST EDUC DIST);Ciudad Bolívar;A;OFICIAL;56;55;50;51;52;265;;
COL ANTONIO GARCIA (INS EDUC DIST);Usme;A;OFICIAL;54;52;49;49;45;253;;
COL COOP MINUTO DE DIOS                                                                             ;Antonio Nariño;O;NO OFICIAL;57;53;53;52;53;268;;
LIC  ERNESTO CARDENAL                                                                               ;Los Mártires;A;NO OFICIAL;56;52;50;49;53;259;;
CENTRO EDUCATIVO LOS ANDES;Santa Fe;A;NO OFICIAL;58;55;52;53;58;274;;
LICEO EL ENCUENTRO;Kennedy;A;NO OFICIAL;70;69;66;65;77;341;;
COLEGIO VIRTUAL SIGLO XXI;Engativá;A;NO OFICIAL;63;57;57;56;67;295;;
COL DEPT INTEGRADO FONTIBON;San Cristobal;A;OFICIAL;55;52;48;49;50;255;;
COLEGIO EDUARDO UMAÑA LUNA INSTITUCION EDUCATIVA DISTRITAL - SEDE PRINCIPAL;Suba;A;OFICIAL;51;48;46;47;50;241;;
COLEGIO GEORGE WASHINGTON CAMPESTRE;Santa Fe;A;NO OFICIAL;59;58;59;56;71;295;;
INST CEMODEN                                                                                        ;Capinero;A;NO OFICIAL;65;64;64;62;68;320;;
COL SAN JUAN DE LOS PASTOS;Fontibón;A;NO OFICIAL;48;47;42;46;45;228;;
COL LUIS CONCHA CORDOBA                                                                             ;Los Mártires;A;NO OFICIAL;58;59;52;55;60;282;;
COL REAL ESCANDINAVO;Los Mártires;A;NO OFICIAL;68;67;63;63;73;329;;
INST TEC IND CENTRO DON BOSCO;Rafael Uribe Uribe;A;NO OFICIAL;62;63;57;59;62;302;;
COL MONSERRATE                                                                                      ;San Cristobal;A;NO OFICIAL;53;50;48;48;54;250;;
GIMN PSICOPEDAG SUBA                                                                                ;Rafael Uribe Uribe;A;NO OFICIAL;59;57;53;54;62;281;;
COL ISIDRO MOLINA                                                                                   ;Teusaquillo;A;NO OFICIAL;64;65;62;61;64;315;;
GIMN CAMPESTRE BETH-SHALOM (ANTIGUO EL REDIL);Bosa;A;NO OFICIAL;68;68;65;64;78;336;;
COL ALEXANDER FLEMING                                                                               ;Barrios Unidos;A;NO OFICIAL;59;57;53;55;60;282;;
COL TOMAS ALVA EDISON                                                                               ;Rafael Uribe Uribe;A;NO OFICIAL;61;60;57;58;60;295;;
FUND COL CLARA CASAS MORALES;Teusaquillo;A;NO OFICIAL;65;60;65;59;78;317;;
INST SAN JUAN DE DIOS                                                                               ;Teusaquillo;A;NO OFICIAL;62;58;59;56;66;297;;
COL SANTA CLARA                                                                                     ;Ciudad Bolívar;A;NO OFICIAL;61;62;57;59;68;302;;
COL CENTRO CULTURAL                                                                                 ;Puente Aranda;A;NO OFICIAL;60;51;57;53;55;276;;
LIC  LUTHER KING                                                                                    ;Puente Aranda;A;NO OFICIAL;55;52;50;52;54;262;;
COL GIOVANNI PASCOLI (ANTIGUO COL NSTRA SRA DE LOS DOLORES);Rafael Uribe Uribe;A;NO OFICIAL;54;54;50;51;57;263;;
CENT EDUC DIST MISAEL PASTRANA BORRERO;Tunjuelito;A;OFICIAL;50;48;45;46;47;236;;
GERARDO MOLINA RAMIREZ (INST EDUC DIST);Tunjuelito;A;OFICIAL;53;53;47;49;49;252;;
CENT EDUC DIST ESPAÑA;Kennedy;A;OFICIAL;55;52;48;50;52;257;;
COL DIST EDUC BAS Y MEDIA ATANASIO GIRARDOT;Engativá;A;OFICIAL;57;54;51;51;51;265;;
CENT DE INTEGRACION EDUCACION DEL NORTE (CIEN );Antonio Nariño;A;NO OFICIAL;62;64;56;58;67;303;;
ALFONSO LÒPEZ MICHELSEN (PUERTA DEL SOL INST EDUC DIST);Usme;A;OFICIAL;53;50;48;49;50;250;;
COL HENRY WALLON - SEDE PRINCIPAL;Barrios Unidos;A;NO OFICIAL;52;50;48;47;54;248;;
COL ANTONIO NARIÑO H.H. CORAZONISTAS;Santa Fe;A;NO OFICIAL;67;69;66;66;73;337;;
INST POLITECNICO JOSE CELESTINO MUTIS;Fontibón;A;NO OFICIAL;46;42;42;43;43;216;;
COL VIRGINIA GUTIERREZ DE PINEDA (INS EDUC DIST);Suba;A;OFICIAL;52;51;46;48;49;246;;
COL CASA ACAD CULTURAL;Engativá;A;NO OFICIAL;55;49;51;49;57;257;;
COL SAN PATRICIO                                                                                    ;Teusaquillo;A;NO OFICIAL;69;73;69;67;85;353;;
COL MANDALAY - SEDE PRINCIPAL;Usme;A;NO OFICIAL;58;55;53;53;59;275;;
COL PUREZA DE MARIA                                                                                 ;Los Mártires;A;NO OFICIAL;64;62;60;60;75;313;;
LIC PSICOPEDAG NUEVA CASTILLA;Sumapaz;A;NO OFICIAL;58;57;53;55;62;281;;
ORLANDO HIGUITA ROJAS (INST EDUC DIST);Tunjuelito;A;OFICIAL;53;50;45;47;49;244;;
CARLOS PIZARRO LEON GOMEZ (INST EDUC DIST);Ciudad Bolívar;A;OFICIAL;54;49;47;47;49;246;;
COL PARROQ SAN JOSE DE FONTIBON;Suba;A;NO OFICIAL;60;57;56;55;59;286;;
INSTITUTO LA ANUNCIACION;San Cristobal;A;NO OFICIAL;58;55;52;53;56;273;;
EXTERN PORFIRIO BARBA JACOB;Barrios Unidos;A;NO OFICIAL;58;59;51;53;58;277;;
GIMN ESPECIALIZADO DEL NORTE;Suba;A;NO OFICIAL;65;58;61;61;67;308;;
LIC DE OXFORD                                                                                       ;Antonio Nariño;A;NO OFICIAL;54;52;46;50;53;253;;
COLEGIO NUEVA GENERACIÓN ALTAMIRA - CONGA - SEDE PRINCIPAL;Suba;A;NO OFICIAL;55;52;49;49;53;257;;
INSTITUTO POPULAR BOLIVARIANO - SEDE PRINCIPAL;Sumapaz;A;NO OFICIAL;49;44;43;45;48;227;;
COL DIST EDUC BAS Y MEDIA ALBERTO LLERAS CAMARGO;Antonio Nariño;A;OFICIAL;53;51;47;49;51;250;;
CENT EDUC DIST VILLA AMALIA;Suba;A;OFICIAL;51;48;46;47;49;240;;
COL DIST EDUC BAS Y MEDIA LEON DE GREIFF;Ciudad Bolívar;A;OFICIAL;49;44;42;44;45;224;;
LICEO PEDAGÓGICO CATHERBLANC - SEDE PRINCIPAL;Bosa;A;NO OFICIAL;58;55;56;56;58;282;;
COL JOSE MARIA VARGAS VILA (INS EDUC DIST);Usaquén;A;OFICIAL;51;47;44;47;44;235;;
COL DIST EDUC BAS Y MEDIA ANTONIO NARIÑO;Ciudad Bolívar;A;OFICIAL;53;50;48;49;49;250;;
GIMN JUVENIL SANTA CATALINA;San Cristobal;A;NO OFICIAL;44;44;34;43;43;207;;
CENT EDUC DIST ISABEL II;Suba;A;OFICIAL;55;52;49;52;52;260;;
CENT EDUC DIST LOS PERIODISTAS;Fontibón;A;OFICIAL;57;56;51;52;56;271;;
CENT EDUC DIST REP DE VENEZUELA;Kennedy;A;OFICIAL;50;46;49;47;44;238;;
LICEO CATOLICO;Capinero;A;NO OFICIAL;59;59;57;58;62;293;;
INST CERROS DEL SUR ICES                                                                            ;Puente Aranda;A;NO OFICIAL;52;43;42;46;56;233;;
COL SAN GREGORIO HERNANDEZ;Fontibón;A;NO OFICIAL;51;51;46;51;53;250;;
LICEO DE COLOMBIA BILINGÜE;Puente Aranda;A;NO OFICIAL;71;75;69;69;83;360;;
INST JOSE MARTINEZ RUIZ                                                                             ;Capinero;A;NO OFICIAL;58;56;52;55;56;277;;
LIC CIAL LAS AMERICAS                                                                               ;Kennedy;A;NO OFICIAL;59;56;54;55;59;281;;
LICEO MAYOR DE PALERMO - SEDE PRINCIPAL;San Cristobal;A;NO OFICIAL;50;49;45;47;49;239;;
COL JOSE MANUEL MARROQUIN;Bosa;A;NO OFICIAL;58;53;53;53;60;273;;
COL FRANCISCANO DEL VIRREY SOLIS;Sumapaz;A;NO OFICIAL;65;67;62;63;77;326;;
CENT EDUC DIST ACACIA II;Usme;A;OFICIAL;50;49;44;47;46;237;;
COL DIST ENRIQUE OLAYA HERRERA;Barrios Unidos;A;OFICIAL;54;51;49;50;50;255;;
COL DIST EDUC BAS Y MEDIA MANUELITA SAENZ;Rafael Uribe Uribe;A;OFICIAL;54;52;49;50;50;256;;
LICEO NAL MAGDALENA ORTEGA DE NARIÑO;Usme;A;OFICIAL;50;47;44;46;44;233;;
